state	power	likelihood
2510	1	-196.975
2520	1	-197.26
2530	1	-196.754
2540	1	-196.905
2550	1	-196.837
2560	1	-197.775
2570	1	-196.756
2580	1	-197.026
2590	1	-201.524
2600	1	-198.049
2610	1	-196.935
2620	1	-196.859
2630	1	-196.83
2640	1	-196.764
2650	1	-196.753
2660	1	-197.9
2670	1	-197.859
2680	1	-196.78
2690	1	-196.764
2700	1	-198.106
2710	1	-196.803
2720	1	-196.757
2730	1	-196.761
2740	1	-198.04
2750	1	-196.908
2760	1	-196.756
2770	1	-197.88
2780	1	-197.174
2790	1	-197.413
2800	1	-196.761
2810	1	-197.11
2820	1	-196.77
2830	1	-196.881
2840	1	-197.317
2850	1	-197.266
2860	1	-196.76
2870	1	-196.856
2880	1	-197.138
2890	1	-196.83
2900	1	-196.774
2910	1	-196.856
2920	1	-196.756
2930	1	-197.057
2940	1	-196.761
2950	1	-197.569
2960	1	-196.872
2970	1	-197.004
2980	1	-197.489
2990	1	-197.127
3000	1	-196.78
3010	1	-197.504
3020	1	-196.759
3030	1	-196.818
3040	1	-196.783
3050	1	-196.776
3060	1	-198.711
3070	1	-196.989
3080	1	-196.779
3090	1	-197.136
3100	1	-197.407
3110	1	-196.801
3120	1	-196.796
3130	1	-197.609
3140	1	-198.341
3150	1	-196.768
3160	1	-198.173
3170	1	-196.871
3180	1	-196.92
3190	1	-196.806
3200	1	-197.135
3210	1	-196.799
3220	1	-199.356
3230	1	-196.753
3240	1	-198.615
3250	1	-196.959
3260	1	-197.374
3270	1	-197.551
3280	1	-196.779
3290	1	-197.335
3300	1	-196.843
3310	1	-196.912
3320	1	-196.767
3330	1	-197.263
3340	1	-198.077
3350	1	-196.782
3360	1	-196.766
3370	1	-198.69
3380	1	-196.865
3390	1	-196.765
3400	1	-196.946
3410	1	-197.382
3420	1	-197.134
3430	1	-196.756
3440	1	-197.944
3450	1	-196.753
3460	1	-197.194
3470	1	-196.978
3480	1	-197.216
3490	1	-196.987
3500	1	-196.767
3510	1	-196.941
3520	1	-197.805
3530	1	-196.758
3540	1	-196.758
3550	1	-196.805
3560	1	-196.803
3570	1	-197.658
3580	1	-196.758
3590	1	-196.756
3600	1	-197.412
3610	1	-197.165
3620	1	-196.973
3630	1	-197.542
3640	1	-196.779
3650	1	-198.006
3660	1	-196.818
3670	1	-196.782
3680	1	-199.375
3690	1	-196.891
3700	1	-197.19
3710	1	-196.756
3720	1	-198.132
3730	1	-197.503
3740	1	-197.037
3750	1	-198.499
3760	1	-196.753
3770	1	-198.556
3780	1	-196.769
3790	1	-196.973
3800	1	-198.62
3810	1	-196.924
3820	1	-197.416
3830	1	-199.23
3840	1	-196.757
3850	1	-197.09
3860	1	-196.776
3870	1	-196.773
3880	1	-196.76
3890	1	-196.753
3900	1	-197.727
3910	1	-197.12
3920	1	-196.763
3930	1	-197.373
3940	1	-197.387
3950	1	-196.91
3960	1	-196.91
3970	1	-196.818
3980	1	-197.201
3990	1	-197.2
4000	1	-196.792
4010	1	-198.13
4020	1	-197.044
4030	1	-196.761
4040	1	-196.866
4050	1	-197.346
4060	1	-198.225
4070	1	-196.754
4080	1	-197.156
4090	1	-197.521
4100	1	-196.784
4110	1	-196.756
4120	1	-196.77
4130	1	-196.762
4140	1	-196.978
4150	1	-197.02
4160	1	-197.253
4170	1	-196.767
4180	1	-197.002
4190	1	-196.755
4200	1	-197.925
4210	1	-196.833
4220	1	-196.881
4230	1	-198.121
4240	1	-196.865
4250	1	-197.165
4260	1	-196.753
4270	1	-196.793
4280	1	-196.91
4290	1	-196.838
4300	1	-197.306
4310	1	-197.109
4320	1	-197.451
4330	1	-197.37
4340	1	-197.197
4350	1	-198.11
4360	1	-196.828
4370	1	-196.875
4380	1	-199.141
4390	1	-201.223
4400	1	-196.773
4410	1	-197.408
4420	1	-196.789
4430	1	-196.786
4440	1	-196.768
4450	1	-196.945
4460	1	-196.925
4470	1	-199.211
4480	1	-197.04
4490	1	-197.785
4500	1	-197.174
4510	1	-196.86
4520	1	-196.919
4530	1	-196.76
4540	1	-197.508
4550	1	-197.092
4560	1	-197.027
4570	1	-198.017
4580	1	-197.584
4590	1	-199.425
4600	1	-196.963
4610	1	-198.498
4620	1	-196.846
4630	1	-198.682
4640	1	-197.478
4650	1	-197.944
4660	1	-196.847
4670	1	-197.135
4680	1	-197.622
4690	1	-197.109
4700	1	-196.755
4710	1	-197.257
4720	1	-198.172
4730	1	-197.28
4740	1	-197.864
4750	1	-196.814
4760	1	-198.848
4770	1	-196.854
4780	1	-196.763
4790	1	-196.754
4800	1	-196.943
4810	1	-197.273
4820	1	-196.778
4830	1	-196.887
4840	1	-196.759
4850	1	-196.855
4860	1	-196.942
4870	1	-196.809
4880	1	-197.299
4890	1	-197.448
4900	1	-196.809
4910	1	-197.23
4920	1	-196.996
4930	1	-196.753
4940	1	-196.757
4950	1	-197.123
4960	1	-196.941
4970	1	-199.396
4980	1	-196.84
4990	1	-196.756
5000	1	-196.814
5010	1	-196.805
5020	1	-197.288
5030	1	-196.755
5040	1	-196.867
5050	1	-197.043
5060	1	-197.624
5070	1	-198.199
5080	1	-197.865
5090	1	-196.763
5100	1	-196.795
5110	1	-196.997
5120	1	-196.956
5130	1	-197.206
5140	1	-196.992
5150	1	-196.786
5160	1	-197.409
5170	1	-197.186
5180	1	-197.616
5190	1	-196.932
5200	1	-196.816
5210	1	-196.753
5220	1	-196.77
5230	1	-196.891
5240	1	-197.654
5250	1	-196.776
5260	1	-196.785
5270	1	-197.071
5280	1	-196.963
5290	1	-196.904
5300	1	-197.535
5310	1	-196.927
5320	1	-196.772
5330	1	-198.075
5340	1	-197.173
5350	1	-198.249
5360	1	-196.868
5370	1	-198.213
5380	1	-197.202
5390	1	-197.835
5400	1	-196.825
5410	1	-197.585
5420	1	-196.822
5430	1	-196.767
5440	1	-198.125
5450	1	-196.992
5460	1	-197.088
5470	1	-197.342
5480	1	-197.544
5490	1	-197.159
5500	1	-196.885
5510	1	-197.799
5520	1	-196.85
5530	1	-198.351
5540	1	-198.657
5550	1	-196.818
5560	1	-197.321
5570	1	-196.755
5580	1	-197.236
5590	1	-196.754
5600	1	-196.911
5610	1	-196.799
5620	1	-196.754
5630	1	-196.785
5640	1	-196.759
5650	1	-197.348
5660	1	-196.93
5670	1	-197.324
5680	1	-197.26
5690	1	-198.248
5700	1	-197.211
5710	1	-197.652
5720	1	-196.816
5730	1	-197.76
5740	1	-196.763
5750	1	-196.889
5760	1	-197.807
5770	1	-197.507
5780	1	-196.894
5790	1	-197.02
5800	1	-199.488
5810	1	-197.111
5820	1	-197.018
5830	1	-198.171
5840	1	-196.831
5850	1	-198.502
5860	1	-197.831
5870	1	-196.787
5880	1	-196.782
5890	1	-196.954
5900	1	-196.979
5910	1	-196.915
5920	1	-200.517
5930	1	-196.759
5940	1	-197.616
5950	1	-196.755
5960	1	-197.482
5970	1	-199.569
5980	1	-197.623
5990	1	-196.757
6000	1	-196.753
6010	1	-197.933
6020	1	-196.835
6030	1	-197.32
6040	1	-196.87
6050	1	-197.536
6060	1	-198.211
6070	1	-196.769
6080	1	-197.217
6090	1	-196.88
6100	1	-197.081
6110	1	-197.087
6120	1	-198.684
6130	1	-197.261
6140	1	-197.754
6150	1	-197.877
6160	1	-196.953
6170	1	-196.759
6180	1	-197.487
6190	1	-197.319
6200	1	-197.03
6210	1	-196.898
6220	1	-197.041
6230	1	-197.434
6240	1	-196.769
6250	1	-196.842
6260	1	-196.768
6270	1	-196.759
6280	1	-197.04
6290	1	-198.103
6300	1	-196.781
6310	1	-196.754
6320	1	-196.981
6330	1	-196.78
6340	1	-196.914
6350	1	-196.756
6360	1	-196.763
6370	1	-196.758
6380	1	-196.806
6390	1	-197.058
6400	1	-196.842
6410	1	-196.77
6420	1	-201.156
6430	1	-197.78
6440	1	-196.818
6450	1	-196.793
6460	1	-197.028
6470	1	-196.956
6480	1	-196.801
6490	1	-199.719
6500	1	-196.796
6510	1	-197.001
6520	1	-196.869
6530	1	-197.01
6540	1	-196.826
6550	1	-196.757
6560	1	-196.753
6570	1	-197.724
6580	1	-197.459
6590	1	-196.827
6600	1	-197.297
6610	1	-196.758
6620	1	-196.98
6630	1	-196.886
6640	1	-197.182
6650	1	-196.762
6660	1	-196.773
6670	1	-196.815
6680	1	-197.235
6690	1	-196.879
6700	1	-197.101
6710	1	-196.783
6720	1	-196.769
6730	1	-199.428
6740	1	-196.806
6750	1	-197.546
6760	1	-197.129
6770	1	-196.858
6780	1	-196.974
6790	1	-197.753
6800	1	-198.792
6810	1	-196.763
6820	1	-197.758
6830	1	-196.781
6840	1	-198.555
6850	1	-196.852
6860	1	-197.044
6870	1	-196.764
6880	1	-196.776
6890	1	-197.981
6900	1	-198.398
6910	1	-197.126
6920	1	-197.422
6930	1	-196.775
6940	1	-197.914
6950	1	-196.88
6960	1	-196.882
6970	1	-197.862
6980	1	-196.823
6990	1	-196.997
7000	1	-197.627
7010	1	-196.942
7020	1	-197.874
7030	1	-197.012
7040	1	-196.755
7050	1	-197.452
7060	1	-198.463
7070	1	-197.549
7080	1	-196.893
7090	1	-196.758
7100	1	-196.909
7110	1	-197.581
7120	1	-196.802
7130	1	-197.117
7140	1	-196.882
7150	1	-196.764
7160	1	-197.168
7170	1	-196.753
7180	1	-198.734
7190	1	-196.933
7200	1	-197.539
7210	1	-196.77
7220	1	-196.768
7230	1	-196.883
7240	1	-196.76
7250	1	-197.84
7260	1	-196.826
7270	1	-196.773
7280	1	-196.753
7290	1	-197.33
7300	1	-196.764
7310	1	-198.748
7320	1	-196.861
7330	1	-196.89
7340	1	-197.25
7350	1	-196.809
7360	1	-196.782
7370	1	-196.754
7380	1	-197.695
7390	1	-200.405
7400	1	-196.808
7410	1	-196.764
7420	1	-196.888
7430	1	-197.97
7440	1	-198.439
7450	1	-196.763
7460	1	-196.755
7470	1	-198.754
7480	1	-196.903
7490	1	-196.933
7500	1	-197.301
7510	1	-196.808
7520	1	-197.2
7530	1	-199.033
7540	1	-197.431
7550	1	-199.531
7560	1	-196.763
7570	1	-197.374
7580	1	-196.943
7590	1	-196.762
7600	1	-197.001
7610	1	-197.147
7620	1	-197.181
7630	1	-197.246
7640	1	-196.753
7650	1	-197.367
7660	1	-196.778
7670	1	-198.898
7680	1	-197.674
7690	1	-197.937
7700	1	-196.859
7710	1	-196.915
7720	1	-196.813
7730	1	-196.755
7740	1	-198.217
7750	1	-196.79
7760	1	-196.814
7770	1	-197.953
7780	1	-197.245
7790	1	-197.073
7800	1	-197.963
7810	1	-197.332
7820	1	-197.245
7830	1	-196.795
7840	1	-197.026
7850	1	-197.112
7860	1	-196.78
7870	1	-199.035
7880	1	-197.064
7890	1	-197.277
7900	1	-196.767
7910	1	-197.346
7920	1	-196.756
7930	1	-197.094
7940	1	-197.032
7950	1	-197.577
7960	1	-197.412
7970	1	-197.339
7980	1	-196.829
7990	1	-197.362
8000	1	-196.939
8010	1	-196.923
8020	1	-196.805
8030	1	-196.818
8040	1	-196.77
8050	1	-196.806
8060	1	-197.368
8070	1	-196.775
8080	1	-196.972
8090	1	-196.946
8100	1	-200.541
8110	1	-197.465
8120	1	-196.77
8130	1	-196.798
8140	1	-197.94
8150	1	-197.124
8160	1	-196.755
8170	1	-196.769
8180	1	-197.135
8190	1	-198.194
8200	1	-197.163
8210	1	-196.765
8220	1	-196.756
8230	1	-197.18
8240	1	-197.638
8250	1	-197.157
8260	1	-196.776
8270	1	-196.755
8280	1	-198.224
8290	1	-197.099
8300	1	-196.763
8310	1	-196.781
8320	1	-197.035
8330	1	-196.857
8340	1	-198.752
8350	1	-196.908
8360	1	-196.841
8370	1	-196.764
8380	1	-196.757
8390	1	-197.514
8400	1	-196.836
8410	1	-198.717
8420	1	-197.783
8430	1	-196.805
8440	1	-197.213
8450	1	-197.05
8460	1	-198.378
8470	1	-198.366
8480	1	-197.148
8490	1	-198.272
8500	1	-197.95
8510	1	-196.765
8520	1	-197.194
8530	1	-197.176
8540	1	-196.986
8550	1	-197.152
8560	1	-196.786
8570	1	-197.907
8580	1	-196.753
8590	1	-197.706
8600	1	-197.661
8610	1	-196.845
8620	1	-198.33
8630	1	-197.204
8640	1	-196.754
8650	1	-196.815
8660	1	-197.122
8670	1	-196.757
8680	1	-196.954
8690	1	-196.774
8700	1	-196.897
8710	1	-196.986
8720	1	-196.892
8730	1	-197.708
8740	1	-198.258
8750	1	-196.951
8760	1	-197.114
8770	1	-197.319
8780	1	-196.917
8790	1	-196.788
8800	1	-198.375
8810	1	-197.527
8820	1	-196.986
8830	1	-196.763
8840	1	-198.947
8850	1	-196.985
8860	1	-196.967
8870	1	-197.542
8880	1	-197.29
8890	1	-197.571
8900	1	-197.22
8910	1	-196.763
8920	1	-196.768
8930	1	-196.766
8940	1	-196.763
8950	1	-196.793
8960	1	-196.828
8970	1	-197.075
8980	1	-196.866
8990	1	-197.599
9000	1	-197.953
9010	1	-196.978
9020	1	-197.246
9030	1	-196.818
9040	1	-197.244
9050	1	-196.754
9060	1	-196.767
9070	1	-196.758
9080	1	-196.767
9090	1	-197.748
9100	1	-196.973
9110	1	-197.376
9120	1	-196.763
9130	1	-196.86
9140	1	-196.767
9150	1	-197.33
9160	1	-196.77
9170	1	-196.844
9180	1	-197.069
9190	1	-197.325
9200	1	-196.8
9210	1	-197.497
9220	1	-196.758
9230	1	-198.405
9240	1	-197.818
9250	1	-196.763
9260	1	-198.019
9270	1	-198.075
9280	1	-197.343
9290	1	-196.784
9300	1	-198.544
9310	1	-196.76
9320	1	-196.812
9330	1	-198.067
9340	1	-196.896
9350	1	-197.37
9360	1	-197.936
9370	1	-196.761
9380	1	-197.217
9390	1	-196.884
9400	1	-196.757
9410	1	-197.779
9420	1	-197.49
9430	1	-196.781
9440	1	-197.58
9450	1	-198.533
9460	1	-196.758
9470	1	-197.198
9480	1	-196.883
9490	1	-197.095
9500	1	-196.929
9510	1	-197.885
9520	1	-196.761
9530	1	-196.782
9540	1	-196.783
9550	1	-196.763
9560	1	-196.762
9570	1	-198.103
9580	1	-197.166
