state	power	likelihood
2510	1	-216.962
2520	1	-216.413
2530	1	-217.705
2540	1	-216.161
2550	1	-216.31
2560	1	-215.473
2570	1	-216.888
2580	1	-218.542
2590	1	-216.79
2600	1	-217.295
2610	1	-215.307
2620	1	-216.439
2630	1	-217.569
2640	1	-217.186
2650	1	-218.371
2660	1	-217.965
2670	1	-217.826
2680	1	-216.733
2690	1	-215.444
2700	1	-215.949
2710	1	-217.49
2720	1	-215.945
2730	1	-216.847
2740	1	-214.998
2750	1	-215.016
2760	1	-216.021
2770	1	-216.85
2780	1	-217.329
2790	1	-215.06
2800	1	-215.63
2810	1	-218.839
2820	1	-218.72
2830	1	-218.002
2840	1	-216.315
2850	1	-217.743
2860	1	-215.594
2870	1	-217.481
2880	1	-216.755
2890	1	-215.137
2900	1	-217.892
2910	1	-217.006
2920	1	-218.22
2930	1	-217.139
2940	1	-215.45
2950	1	-216.613
2960	1	-217.031
2970	1	-216.483
2980	1	-216.884
2990	1	-216.226
3000	1	-217.678
3010	1	-216.164
3020	1	-218.356
3030	1	-215.167
3040	1	-215.023
3050	1	-216.319
3060	1	-216.006
3070	1	-215.132
3080	1	-215.566
3090	1	-216.009
3100	1	-215.441
3110	1	-217.209
3120	1	-216.623
3130	1	-219.913
3140	1	-217.077
3150	1	-215.937
3160	1	-216.505
3170	1	-216.161
3180	1	-215.701
3190	1	-215.333
3200	1	-216.176
3210	1	-216.553
3220	1	-215.228
3230	1	-216.827
3240	1	-215.328
3250	1	-216.993
3260	1	-216.349
3270	1	-217.05
3280	1	-218.158
3290	1	-217.925
3300	1	-217.544
3310	1	-216.061
3320	1	-215.373
3330	1	-217.047
3340	1	-215.142
3350	1	-214.87
3360	1	-215.775
3370	1	-216.225
3380	1	-217.111
3390	1	-217.293
3400	1	-217.112
3410	1	-215.985
3420	1	-215.982
3430	1	-215.216
3440	1	-218.986
3450	1	-218.718
3460	1	-215.203
3470	1	-215.405
3480	1	-216.566
3490	1	-215.448
3500	1	-216.696
3510	1	-215.769
3520	1	-217.926
3530	1	-216.593
3540	1	-215.619
3550	1	-216.33
3560	1	-216.792
3570	1	-215.306
3580	1	-215.789
3590	1	-217.798
3600	1	-216.412
3610	1	-215.466
3620	1	-215.288
3630	1	-218.685
3640	1	-216.235
3650	1	-217.989
3660	1	-218.86
3670	1	-216.635
3680	1	-216.526
3690	1	-215.643
3700	1	-215.299
3710	1	-218.621
3720	1	-216.079
3730	1	-219.552
3740	1	-216.887
3750	1	-218.043
3760	1	-217.202
3770	1	-215.754
3780	1	-216.111
3790	1	-216.087
3800	1	-215.707
3810	1	-216.756
3820	1	-215.003
3830	1	-219.635
3840	1	-218.281
3850	1	-216.654
3860	1	-215.941
3870	1	-217.228
3880	1	-216.577
3890	1	-215.21
3900	1	-216.653
3910	1	-217.238
3920	1	-215.437
3930	1	-218.21
3940	1	-216.321
3950	1	-215.799
3960	1	-217.444
3970	1	-217.086
3980	1	-215.015
3990	1	-215.316
4000	1	-215.139
4010	1	-216.15
4020	1	-215.453
4030	1	-215.816
4040	1	-219.698
4050	1	-216.446
4060	1	-215.234
4070	1	-215.85
4080	1	-215.843
4090	1	-217.85
4100	1	-215.038
4110	1	-216.118
4120	1	-215.935
4130	1	-216.102
4140	1	-217.951
4150	1	-215.427
4160	1	-219.903
4170	1	-215.498
4180	1	-217.478
4190	1	-221.643
4200	1	-215.043
4210	1	-215.9
4220	1	-217.889
4230	1	-216.732
4240	1	-216.077
4250	1	-217.717
4260	1	-217
4270	1	-215.822
4280	1	-215.772
4290	1	-216.698
4300	1	-217.722
4310	1	-215.515
4320	1	-214.99
4330	1	-218.159
4340	1	-216.093
4350	1	-215.511
4360	1	-218.607
4370	1	-214.777
4380	1	-217.632
4390	1	-215.861
4400	1	-217.515
4410	1	-216.398
4420	1	-220.378
4430	1	-217.143
4440	1	-216.676
4450	1	-215.538
4460	1	-217.272
4470	1	-215.496
4480	1	-215.387
4490	1	-216.382
4500	1	-216.6
4510	1	-215.329
4520	1	-216.116
4530	1	-216.115
4540	1	-215.352
4550	1	-215.792
4560	1	-218.732
4570	1	-216.124
4580	1	-215.645
4590	1	-217.717
4600	1	-215.551
4610	1	-221.756
4620	1	-215.668
4630	1	-216.773
4640	1	-217.203
4650	1	-217.829
4660	1	-216.057
4670	1	-215.842
4680	1	-217.872
4690	1	-217.587
4700	1	-216.26
4710	1	-217.658
4720	1	-216.606
4730	1	-215.38
4740	1	-218.329
4750	1	-215.343
4760	1	-214.978
4770	1	-215.184
4780	1	-217.003
4790	1	-216.319
4800	1	-215.053
4810	1	-216.362
4820	1	-216.535
4830	1	-218.09
4840	1	-215.404
4850	1	-216.244
4860	1	-215.699
4870	1	-216.662
4880	1	-218.109
4890	1	-218.922
4900	1	-216.79
4910	1	-216.078
4920	1	-215.385
4930	1	-216.003
4940	1	-215.78
4950	1	-218.555
4960	1	-218.238
4970	1	-219.391
4980	1	-218.489
4990	1	-217.24
5000	1	-215.396
5010	1	-215.87
5020	1	-217.154
5030	1	-216.855
5040	1	-217.94
5050	1	-216.462
5060	1	-215.437
5070	1	-217.071
5080	1	-217.28
5090	1	-216.259
5100	1	-216.528
5110	1	-214.722
5120	1	-215.79
5130	1	-215.622
5140	1	-215.197
5150	1	-216.989
5160	1	-215.658
5170	1	-216.015
5180	1	-216.148
5190	1	-215.713
5200	1	-217.081
5210	1	-216.758
5220	1	-216.033
5230	1	-217.773
5240	1	-215.353
5250	1	-215.953
5260	1	-215.748
5270	1	-215.306
5280	1	-216.393
5290	1	-216.596
5300	1	-219.206
5310	1	-218.105
