state	power	likelihood
2510	1	-197.112
2520	1	-194.588
2530	1	-194.674
2540	1	-194.443
2550	1	-194.812
2560	1	-195.192
2570	1	-194.466
2580	1	-194.423
2590	1	-194.667
2600	1	-194.58
2610	1	-194.423
2620	1	-194.664
2630	1	-194.473
2640	1	-194.536
2650	1	-194.982
2660	1	-194.55
2670	1	-194.423
2680	1	-194.868
2690	1	-195.745
2700	1	-194.929
2710	1	-195.038
2720	1	-194.667
2730	1	-194.597
2740	1	-194.753
2750	1	-194.917
2760	1	-194.463
2770	1	-195.814
2780	1	-194.467
2790	1	-195.49
2800	1	-194.667
2810	1	-194.813
2820	1	-194.525
2830	1	-194.482
2840	1	-194.546
2850	1	-194.478
2860	1	-195.921
2870	1	-195.028
2880	1	-194.679
2890	1	-194.427
2900	1	-194.433
2910	1	-194.442
2920	1	-195.511
2930	1	-194.673
2940	1	-195.218
2950	1	-194.542
2960	1	-195.426
2970	1	-194.483
2980	1	-194.424
2990	1	-194.528
3000	1	-194.455
3010	1	-195.42
3020	1	-194.811
3030	1	-195.104
3040	1	-194.425
3050	1	-194.436
3060	1	-194.513
3070	1	-194.643
3080	1	-194.473
3090	1	-194.427
3100	1	-195.074
3110	1	-194.725
3120	1	-194.687
3130	1	-194.485
3140	1	-194.424
3150	1	-194.531
3160	1	-194.758
3170	1	-194.476
3180	1	-194.622
3190	1	-194.825
3200	1	-194.444
3210	1	-194.478
3220	1	-194.426
3230	1	-194.563
3240	1	-194.435
3250	1	-194.828
3260	1	-195.184
3270	1	-194.582
3280	1	-194.44
3290	1	-194.493
3300	1	-194.427
3310	1	-196.197
3320	1	-194.71
3330	1	-194.449
3340	1	-194.614
3350	1	-194.464
3360	1	-194.48
3370	1	-194.734
3380	1	-195.032
3390	1	-194.497
3400	1	-194.458
3410	1	-194.672
3420	1	-195.455
3430	1	-194.649
3440	1	-194.449
3450	1	-194.431
3460	1	-194.424
3470	1	-195.893
3480	1	-195.84
3490	1	-194.456
3500	1	-194.427
3510	1	-196.067
3520	1	-194.496
3530	1	-194.515
3540	1	-195.384
3550	1	-194.924
3560	1	-194.616
3570	1	-194.879
3580	1	-194.562
3590	1	-194.786
3600	1	-195.852
3610	1	-195.685
3620	1	-197.574
3630	1	-195.1
3640	1	-194.739
3650	1	-194.68
3660	1	-194.987
3670	1	-194.792
3680	1	-196.994
3690	1	-194.446
3700	1	-195.691
3710	1	-195.765
3720	1	-194.453
3730	1	-194.503
3740	1	-194.904
3750	1	-194.672
3760	1	-196.564
3770	1	-194.516
3780	1	-194.687
3790	1	-194.438
