state	power	likelihood
2510	1	-214.796
2520	1	-215
2530	1	-217.332
2540	1	-215.376
2550	1	-215.089
2560	1	-218.152
2570	1	-218.172
2580	1	-215.858
2590	1	-217.344
2600	1	-214.62
2610	1	-215.291
2620	1	-218.564
2630	1	-215.706
2640	1	-217.057
2650	1	-215.528
2660	1	-214.608
2670	1	-214.762
2680	1	-215.608
2690	1	-215.876
2700	1	-221.454
2710	1	-216.167
2720	1	-217.76
2730	1	-216.725
2740	1	-216.441
2750	1	-215.5
2760	1	-219.743
2770	1	-216.032
2780	1	-215.393
2790	1	-216.576
2800	1	-218.282
2810	1	-215.998
2820	1	-216.568
2830	1	-215.203
2840	1	-218.636
2850	1	-215.865
2860	1	-217.081
2870	1	-216.924
2880	1	-218.814
2890	1	-216.264
2900	1	-215.723
2910	1	-216.673
2920	1	-215.611
2930	1	-215.402
2940	1	-215.143
2950	1	-215.843
2960	1	-217.189
2970	1	-215.446
2980	1	-215.239
2990	1	-217.309
3000	1	-215.425
3010	1	-214.911
3020	1	-216.403
3030	1	-214.89
3040	1	-215.019
3050	1	-216.062
3060	1	-214.99
3070	1	-215.713
3080	1	-215.129
3090	1	-215.123
3100	1	-217.298
3110	1	-216.73
3120	1	-215.67
3130	1	-215.754
3140	1	-216.097
3150	1	-215.879
3160	1	-216.392
3170	1	-215.674
3180	1	-214.76
3190	1	-215.61
3200	1	-215.918
3210	1	-215.505
3220	1	-216.123
3230	1	-215.63
3240	1	-217.145
3250	1	-215.281
3260	1	-216.065
3270	1	-215.493
3280	1	-216.447
3290	1	-215.466
3300	1	-216.365
3310	1	-220.415
3320	1	-216.706
3330	1	-216.219
3340	1	-217.088
3350	1	-215.353
3360	1	-216.433
3370	1	-216.336
3380	1	-215.195
3390	1	-215.558
3400	1	-215.299
3410	1	-215.673
3420	1	-217.026
3430	1	-217.283
3440	1	-214.992
3450	1	-217.41
3460	1	-216.595
3470	1	-215.806
3480	1	-217.456
3490	1	-214.866
3500	1	-216.487
3510	1	-218.08
3520	1	-215.903
3530	1	-219.185
3540	1	-217.388
3550	1	-215.377
3560	1	-215.814
3570	1	-216.601
3580	1	-215.182
3590	1	-214.919
3600	1	-218.802
3610	1	-215.543
3620	1	-214.479
3630	1	-216.427
3640	1	-216.979
3650	1	-215.593
3660	1	-216.166
3670	1	-215.105
3680	1	-216.345
3690	1	-214.693
3700	1	-216.72
3710	1	-218.621
3720	1	-216.439
3730	1	-215.636
3740	1	-215.26
3750	1	-216.627
3760	1	-214.842
3770	1	-215.386
3780	1	-216.077
3790	1	-216.691
3800	1	-214.53
3810	1	-217.202
3820	1	-219.341
3830	1	-216.559
3840	1	-215.512
3850	1	-217.009
3860	1	-216.11
3870	1	-219.204
3880	1	-214.84
3890	1	-217.92
3900	1	-215.213
3910	1	-216.466
3920	1	-215.159
3930	1	-215.68
3940	1	-215.813
3950	1	-215.524
3960	1	-216.296
3970	1	-216.458
3980	1	-214.99
3990	1	-217.671
4000	1	-216.113
4010	1	-215.882
4020	1	-215.216
4030	1	-217.316
4040	1	-217.222
4050	1	-216.126
4060	1	-214.866
4070	1	-216.846
4080	1	-218.029
4090	1	-215.088
4100	1	-215.362
4110	1	-215.609
4120	1	-221.578
4130	1	-217.771
4140	1	-214.649
4150	1	-216.581
4160	1	-215.089
4170	1	-215.415
4180	1	-215.499
4190	1	-215.765
4200	1	-215.108
4210	1	-216.566
4220	1	-217.043
4230	1	-214.72
4240	1	-217.285
4250	1	-215.13
4260	1	-215.394
4270	1	-216.189
4280	1	-215.464
4290	1	-216.556
4300	1	-215.215
4310	1	-216.471
4320	1	-217.116
4330	1	-216.053
4340	1	-216.02
4350	1	-214.839
4360	1	-216.699
4370	1	-215.566
4380	1	-219.18
4390	1	-214.674
4400	1	-216.724
4410	1	-215.564
4420	1	-217.187
4430	1	-217.115
4440	1	-216.675
4450	1	-217.175
4460	1	-216.542
4470	1	-216.086
4480	1	-214.764
4490	1	-217.145
4500	1	-217.801
4510	1	-216.811
4520	1	-215.075
4530	1	-215.21
4540	1	-216.458
4550	1	-216.516
4560	1	-217.116
4570	1	-215.787
4580	1	-216.601
4590	1	-215.622
4600	1	-216.091
4610	1	-216.829
4620	1	-217.535
4630	1	-220.281
4640	1	-215.008
4650	1	-216.298
4660	1	-215.394
4670	1	-215.145
4680	1	-216.361
4690	1	-215.639
4700	1	-214.976
4710	1	-220.417
4720	1	-217.373
4730	1	-219.079
4740	1	-218.927
4750	1	-216.245
4760	1	-217.368
4770	1	-215.008
4780	1	-215.282
4790	1	-216.635
4800	1	-215.898
4810	1	-217.596
4820	1	-215.101
4830	1	-215.572
4840	1	-214.637
4850	1	-216.13
4860	1	-215.481
4870	1	-217.014
4880	1	-223.735
4890	1	-220.973
4900	1	-216.741
4910	1	-215.596
4920	1	-217.313
4930	1	-219.55
4940	1	-215.329
4950	1	-219.704
4960	1	-216.096
4970	1	-214.711
4980	1	-215.067
4990	1	-218.815
5000	1	-216.633
5010	1	-216.282
5020	1	-216.472
5030	1	-217.952
