state	power	likelihood
2510	1	-216.921
2520	1	-218.258
2530	1	-215.528
2540	1	-217.852
2550	1	-216.101
2560	1	-215.966
2570	1	-216.23
2580	1	-215.662
2590	1	-217.738
2600	1	-215.384
2610	1	-215.76
2620	1	-217.778
2630	1	-214.658
2640	1	-218.233
2650	1	-218.117
2660	1	-214.856
2670	1	-214.843
2680	1	-215.104
2690	1	-216.289
2700	1	-215.384
2710	1	-216.025
2720	1	-217.5
2730	1	-218.024
2740	1	-219.09
2750	1	-215.099
2760	1	-217.139
2770	1	-217.125
2780	1	-216.676
2790	1	-216.507
2800	1	-215.867
2810	1	-215.633
2820	1	-216.077
2830	1	-215.001
2840	1	-216.812
2850	1	-219.046
2860	1	-214.832
2870	1	-218.967
2880	1	-216.494
2890	1	-215.792
2900	1	-214.746
2910	1	-214.72
2920	1	-215.337
2930	1	-216.201
2940	1	-215.782
2950	1	-215.467
2960	1	-216.049
2970	1	-218.318
2980	1	-216.788
2990	1	-217.604
3000	1	-215.564
3010	1	-215.498
3020	1	-218.522
3030	1	-216.146
3040	1	-215.459
3050	1	-214.646
3060	1	-216.465
3070	1	-216.669
3080	1	-219.013
3090	1	-215.521
3100	1	-216.062
3110	1	-215.076
3120	1	-218.129
3130	1	-214.711
3140	1	-216.755
3150	1	-215.642
3160	1	-218.068
3170	1	-216.249
3180	1	-215.153
3190	1	-215.234
3200	1	-216.091
3210	1	-215.686
3220	1	-217.763
3230	1	-216.351
3240	1	-216.569
3250	1	-215.089
3260	1	-215.967
3270	1	-216.168
3280	1	-215.434
3290	1	-215.904
3300	1	-217.247
3310	1	-215.371
3320	1	-216.985
3330	1	-215.222
3340	1	-216.031
3350	1	-216.017
3360	1	-216.277
3370	1	-216.863
3380	1	-214.742
3390	1	-216.482
3400	1	-216.781
3410	1	-216.063
3420	1	-219.244
3430	1	-215.629
3440	1	-217.589
3450	1	-214.68
3460	1	-214.573
3470	1	-216.284
3480	1	-218.305
3490	1	-216.054
3500	1	-216.21
3510	1	-216.848
3520	1	-215.115
3530	1	-215.173
3540	1	-220.515
3550	1	-215.785
3560	1	-219.756
3570	1	-215.727
3580	1	-218.334
3590	1	-216.647
3600	1	-215.845
3610	1	-215.129
3620	1	-215.777
3630	1	-217.275
3640	1	-216.612
3650	1	-215.027
3660	1	-216.758
3670	1	-218.542
3680	1	-215.882
3690	1	-217.297
3700	1	-217.516
3710	1	-215.209
3720	1	-219.13
3730	1	-215.663
3740	1	-216.608
3750	1	-215.813
3760	1	-218.069
3770	1	-218.928
3780	1	-216.235
3790	1	-215.177
3800	1	-219.646
3810	1	-216.456
3820	1	-218.757
3830	1	-216.759
3840	1	-217.147
3850	1	-217.354
3860	1	-218.095
3870	1	-214.554
3880	1	-215.545
3890	1	-215.63
3900	1	-217.669
3910	1	-216.642
3920	1	-216.043
3930	1	-217.284
3940	1	-216.27
3950	1	-216.19
3960	1	-217.465
3970	1	-215.505
3980	1	-216.757
3990	1	-215.445
4000	1	-218.559
4010	1	-217.243
4020	1	-215.172
4030	1	-217.123
4040	1	-214.899
4050	1	-216.181
4060	1	-216.281
4070	1	-215.509
4080	1	-214.9
4090	1	-219.436
4100	1	-215.61
4110	1	-215.491
4120	1	-215.389
4130	1	-217.18
4140	1	-218.13
4150	1	-216.03
4160	1	-216.453
4170	1	-216.384
4180	1	-214.83
4190	1	-214.995
4200	1	-216.351
4210	1	-214.954
4220	1	-215.228
4230	1	-216.289
4240	1	-215.985
4250	1	-214.931
4260	1	-216.16
4270	1	-216.393
4280	1	-215.738
4290	1	-217.656
4300	1	-215.773
4310	1	-216.897
4320	1	-217.42
4330	1	-216.195
4340	1	-215.76
4350	1	-218.693
4360	1	-216.249
4370	1	-216.551
4380	1	-220.024
4390	1	-215.342
4400	1	-215.768
4410	1	-215.494
4420	1	-218.445
4430	1	-215.936
4440	1	-215.9
4450	1	-216.915
4460	1	-215.412
4470	1	-214.496
4480	1	-215.81
4490	1	-216.045
4500	1	-215.074
4510	1	-215.168
4520	1	-216.046
4530	1	-215.291
4540	1	-217.29
4550	1	-217.183
4560	1	-215.97
